scenario,total_cost,total_risk_cost,tasks_after_preferred_day,on_or_before_preferred_rate,changed_assignments,schedule_robustness,downtime_multiplier,repair_multiplier,labor_multiplier
base,1066287.97,82287.97,6,0.5,0,1.0,1.0,1.0,1.0
high_downtime,1273287.97,82287.97,6,0.5,2,0.8333,1.25,1.0,1.0
high_labor,1071087.97,82287.97,6,0.5,0,1.0,1.0,1.0,1.2
high_parts,1092687.97,82287.97,6,0.5,0,1.0,1.0,1.2,1.0
low_downtime,942087.97,82287.97,6,0.5,0,1.0,0.85,1.0,1.0
stress_case,1338087.97,82287.97,6,0.5,2,0.8333,1.3,1.15,1.15
