model_key,score_column,roc_auc,pr_auc,threshold,precision,recall,f1,false_alarm_rate,tp,fp,tn,fn
mad,mad_score,0.9485371342835708,0.9526350352394274,1.4745297172147136,1.0,0.872093023255814,0.9316770186335404,0.03225806451612903,75,5,150,11
zscore,zscore_score,0.9443360840210052,0.9489485428844242,1.3496489115139172,1.0,0.872093023255814,0.9316770186335404,0.03225806451612903,75,5,150,11
local_outlier_factor,local_outlier_factor_score,0.9264441110277569,0.9364467101433355,5.81421028090683,1.0,0.872093023255814,0.9316770186335404,0.03870967741935484,75,6,149,11
lstm_autoencoder,reconstruction_error,0.9669917479369844,0.9667408612545799,1.3542914390563965,1.0,0.8604651162790697,0.9249999999999999,0.0064516129032258064,74,1,154,12
isolation_forest,isolation_forest_score,0.7642160540135035,0.7099775525403418,0.0339883503183072,0.8387096774193549,0.6046511627906976,0.7027027027027026,0.07096774193548387,52,11,144,34
